,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Defect_of_vehicle,Area_accident_occured,Types_of_Junction,Number_of_casualties,Sex_of_casualty,Cause_of_accident,Accident_severity
35,18-30,Male,High school,5-10yr,No defect,Rural village areas,O Shape,1,Male,No distancing,Slight Injury
36,18-30,Male,Above high school,1-2yr,No defect,Office areas,Crossing,2,na,No priority to vehicle,Slight Injury
37,Over 51,Male,Junior high school,Below 1yr,No defect,Residential areas,Crossing,2,Female,Other,Slight Injury
38,Over 51,Male,,,,Residential areas,Crossing,2,na,Driving carelessly,Slight Injury
39,Over 51,Male,High school,Below 1yr,7, Outside rural areas,No junction,1,Female,Changing lane to the left,Slight Injury
40,31-50,Male,High school,Below 1yr,,Residential areas,No junction,1,na,Driving carelessly,Slight Injury
41,31-50,Male,,,5, Church areas,No junction,2,Female,Changing lane to the left,Slight Injury
42,18-30,Male,High school,2-5yr,No defect,Office areas,No junction,2,Male,No priority to vehicle,Slight Injury
43,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,1,Male,No distancing,Slight Injury
44,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,1,Male,Changing lane to the right,Slight Injury
45,31-50,Male,Junior high school,5-10yr,,Other,Y Shape,1,na,Changing lane to the right,Serious Injury
46,31-50,Male,Junior high school,1-2yr,,Other,Crossing,1,na,Driving at high speed,Slight Injury
47,31-50,Male,Unknown,Below 1yr,No defect,Residential areas,Crossing,1,Female,No distancing,Slight Injury
48,18-30,Male,Junior high school,Below 1yr,,Other,Crossing,1,na,Changing lane to the right,Slight Injury
49,18-30,Male,High school,2-5yr,,Other,Crossing,1,Male,Changing lane to the left,Slight Injury
50,18-30,Male,Junior high school,1-2yr,,Other,Other,1,Female,Getting off the vehicle improperly,Slight Injury
51,31-50,Male,Junior high school,5-10yr,No defect,Other,Other,1,na,Other,Slight Injury
52,Over 51,Male,Elementary school,2-5yr,No defect,Other,No junction,3,Male,Other,Slight Injury
53,31-50,Male,Elementary school,5-10yr,No defect,Other,No junction,3,Male,No distancing,Slight Injury
54,31-50,Male,Junior high school,Above 10yr,, Church areas,No junction,3,na,No priority to vehicle,Slight Injury
55,18-30,Unknown,Junior high school,5-10yr,,Other,No junction,3,Female,Overtaking,Slight Injury
56,18-30,Male,High school,5-10yr,, Industrial areas,No junction,1,Male,No priority to pedestrian,Slight Injury
57,31-50,Male,Junior high school,5-10yr,No defect,Residential areas,No junction,1,na,No distancing,Slight Injury
58,18-30,Unknown,Junior high school,Above 10yr,No defect,Other,Unknown,1,na,Changing lane to the right,Slight Injury
59,Over 51,Male,Junior high school,1-2yr,No defect,Office areas,Unknown,1,Male,Driving carelessly,Slight Injury
60,18-30,Male,Junior high school,2-5yr,No defect, Industrial areas,Y Shape,1,na,Changing lane to the right,Slight Injury
61,31-50,Male,Junior high school,1-2yr,No defect, Industrial areas,Y Shape,1,na,Overtaking,Slight Injury
62,31-50,Male,,,No defect,Other,Y Shape,1,Male,Other,Slight Injury
63,31-50,Male,Elementary school,5-10yr,, Hospital areas,Y Shape,1,na,Driving to the left,Slight Injury
64,Unknown,Female,Junior high school,5-10yr,,Office areas,No junction,1,Female,Driving at high speed,Slight Injury
65,31-50,Male,Junior high school,Above 10yr,No defect, Church areas,No junction,1,Female,Unknown,Slight Injury
66,31-50,Unknown,Junior high school,2-5yr,No defect, Hospital areas,O Shape,1,Female,Changing lane to the right,Slight Injury
67,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,O Shape,1,Male,No distancing,Slight Injury
68,18-30,Male,Junior high school,2-5yr,No defect,Other,No junction,1,na,Other,Slight Injury
69,31-50,Male,Elementary school,5-10yr,,Office areas,No junction,1,Male,No priority to vehicle,Slight Injury
70,18-30,Male,Elementary school,5-10yr,,Office areas,Crossing,1,Male,Changing lane to the left,Slight Injury
71,31-50,Male,Junior high school,5-10yr,No defect,Other,Crossing,1,na,No priority to pedestrian,Slight Injury
72,31-50,Male,Junior high school,5-10yr,No defect,Office areas,No junction,4,Male,Overtaking,Slight Injury
73,31-50,Male,Elementary school,Above 10yr,No defect,Residential areas,No junction,4,Male,Driving carelessly,Slight Injury
74,31-50,Male,Junior high school,Below 1yr,,Other,No junction,4,na,No priority to vehicle,Slight Injury
75,31-50,Male,Junior high school,5-10yr,,Office areas,No junction,4,Female,No priority to pedestrian,Slight Injury
76,Over 51,Male,Elementary school,1-2yr,,Office areas,No junction,1,Male,Changing lane to the right,Serious Injury
77,Over 51,Unknown,,,,Office areas,No junction,1,na,Driving carelessly,Slight Injury
78,31-50,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,1,Female,Changing lane to the right,Slight Injury
79,Under 18,Male,High school,2-5yr,No defect, Church areas,Y Shape,1,na,Changing lane to the right,Slight Injury
80,31-50,Male,Junior high school,1-2yr,No defect, Industrial areas,Crossing,1,Female,Changing lane to the left,Serious Injury
81,31-50,Male,Junior high school,1-2yr,No defect,Office areas,Crossing,1,Male,Overturning,Serious Injury
82,Over 51,Male,Above high school,2-5yr,No defect, Church areas,Unknown,2,na,Driving carelessly,Slight Injury
83,Over 51,Male,,,,Office areas,Unknown,2,Female,No distancing,Slight Injury
84,Over 51,Unknown,Elementary school,2-5yr,No defect,Office areas,Crossing,3,Female,Driving carelessly,Slight Injury
85,Over 51,Male,Junior high school,1-2yr,,Residential areas,Crossing,3,na,Changing lane to the left,Slight Injury
86,31-50,Male,,5-10yr,,Office areas,Crossing,3,na,No priority to vehicle,Slight Injury
87,18-30,Unknown,Junior high school,Below 1yr,,Residential areas,Y Shape,1,Female,Changing lane to the right,Serious Injury
88,18-30,Male,Junior high school,2-5yr,,Office areas,Y Shape,1,na,No distancing,Serious Injury
89,31-50,Male,Junior high school,5-10yr,No defect,Office areas,No junction,1,Male,Moving Backward,Fatal injury
90,31-50,Male,Junior high school,Above 10yr,No defect,Other,No junction,1,Male,Moving Backward,Fatal injury
91,18-30,Male,Elementary school,2-5yr,No defect,Other,No junction,1,na,No distancing,Slight Injury
92,18-30,Male,Elementary school,Above 10yr,No defect,Residential areas,No junction,1,na,No distancing,Slight Injury
93,Over 51,Male,Junior high school,1-2yr,, Church areas,Crossing,1,Male,No distancing,Slight Injury
94,Over 51,Male,Junior high school,5-10yr,No defect, Church areas,Crossing,1,na,No priority to pedestrian,Slight Injury
95,18-30,Male,Junior high school,2-5yr,No defect,Residential areas,Y Shape,1,na,Driving carelessly,Slight Injury
96,18-30,Male,Junior high school,2-5yr,No defect,Office areas,Y Shape,1,na,Changing lane to the right,Slight Injury
97,31-50,Male,Junior high school,2-5yr,No defect,Office areas,Y Shape,1,Female,Changing lane to the left,Slight Injury
98,18-30,Unknown,Junior high school,2-5yr,,Residential areas,No junction,1,Male,Driving carelessly,Slight Injury
99,Over 51,Male,Junior high school,Above 10yr,, Church areas,No junction,1,Female,Driving carelessly,Slight Injury
100,18-30,Male,Junior high school,Above 10yr,,Other,Y Shape,2,Female,No distancing,Slight Injury
101,31-50,Male,Elementary school,5-10yr,,Office areas,Y Shape,2,na,Other,Slight Injury
102,18-30,Male,,,,Other,Y Shape,1,na,Changing lane to the right,Slight Injury
103,18-30,Male,,2-5yr,,Other,Y Shape,1,Male,Changing lane to the right,Slight Injury
104,18-30,Male,Elementary school,5-10yr,,,Crossing,1,Male,No distancing,Slight Injury
105,Over 51,Male,Junior high school,5-10yr,,Residential areas,Crossing,1,na,No distancing,Slight Injury
106,31-50,Unknown,Junior high school,Above 10yr,, Church areas,Crossing,1,Male,Overturning,Slight Injury
107,Under 18,Male,Junior high school,5-10yr,,Other,No junction,4,na,Driving at high speed,Serious Injury
108,Under 18,Male,Junior high school,Above 10yr,,Other,No junction,4,Male,No priority to vehicle,Serious Injury
109,Under 18,Male,Elementary school,Below 1yr,No defect,Residential areas,No junction,4,na,No priority to pedestrian,Serious Injury
110,Under 18,Male,Elementary school,5-10yr,,Office areas,No junction,4,na,No priority to vehicle,Serious Injury
111,Over 51,Male,Elementary school,1-2yr,No defect, Industrial areas,Y Shape,1,na,Other,Slight Injury
112,31-50,Unknown,Elementary school,5-10yr,No defect,Residential areas,Y Shape,1,Male,Other,Slight Injury
113,31-50,Male,Elementary school,5-10yr,No defect,Office areas,Y Shape,1,na,Moving Backward,Slight Injury
114,18-30,Male,Elementary school,2-5yr,,Other,Crossing,1,na,No distancing,Slight Injury
115,31-50,Male,Elementary school,5-10yr,, Church areas,Crossing,1,Female,Moving Backward,Slight Injury
116,31-50,Unknown,,5-10yr,, Industrial areas,Crossing,1,Female,No priority to vehicle,Slight Injury
117,18-30,Male,Junior high school,Above 10yr,No defect,  Recreational areas,No junction,1,Male,Driving carelessly,Slight Injury
118,Unknown,Female,Junior high school,Above 10yr,No defect,  Market areas,Crossing,3,na,No distancing,Slight Injury
119,18-30,Unknown,Elementary school,Below 1yr,No defect,Other,Crossing,3,na,Other,Slight Injury
120,18-30,Male,Elementary school,5-10yr,,Other,Crossing,3,Male,Changing lane to the right,Slight Injury
121,18-30,Male,Elementary school,5-10yr,No defect, Industrial areas,Crossing,3,na,No distancing,Slight Injury
122,31-50,Male,Elementary school,2-5yr,,Other,No junction,1,Male,Driving carelessly,Slight Injury
123,18-30,Male,Elementary school,Above 10yr,,Office areas,No junction,1,na,No distancing,Slight Injury
124,18-30,Male,Elementary school,2-5yr,,,Y Shape,1,Female,No priority to vehicle,Slight Injury
125,31-50,Male,Junior high school,Above 10yr,,Office areas,Y Shape,1,na,Changing lane to the right,Slight Injury
126,18-30,Male,Junior high school,Below 1yr,,Office areas,Y Shape,1,Male,No priority to pedestrian,Slight Injury
127,18-30,Male,Junior high school,2-5yr,,Other,Other,1,Female,No priority to vehicle,Serious Injury
128,Under 18,Unknown,Elementary school,5-10yr,,Other,Crossing,1,Female,Changing lane to the left,Slight Injury
129,Over 51,Male,Elementary school,5-10yr,No defect,Other,Crossing,1,na,Turnover,Slight Injury
130,31-50,Male,Elementary school,1-2yr,,Other,No junction,1,Male,Driving to the left,Slight Injury
131,18-30,Male,Elementary school,,,Residential areas,No junction,3,na,Driving carelessly,Slight Injury
132,18-30,Male,Junior high school,1-2yr,No defect, Church areas,No junction,3,Male,Driving to the left,Slight Injury
133,18-30,Male,,5-10yr,,Office areas,No junction,3,Male,Driving carelessly,Slight Injury
134,31-50,Male,Elementary school,1-2yr,, Church areas,Crossing,1,na,No priority to pedestrian,Slight Injury
135,Under 18,Male,Junior high school,5-10yr,,Other,Y Shape,1,Male,Driving carelessly,Slight Injury
136,18-30,Male,Junior high school,2-5yr,,,Y Shape,1,Male,Changing lane to the right,Slight Injury
137,31-50,Male,Junior high school,2-5yr,,School areas,No junction,1,Male,Moving Backward,Serious Injury
138,18-30,Unknown,Junior high school,5-10yr,,Office areas,Crossing,1,Male,Driving carelessly,Slight Injury
139,31-50,Male,Junior high school,Below 1yr,,Other,No junction,1,na,Changing lane to the right,Slight Injury
140,31-50,Male,High school,Below 1yr,,Office areas,Crossing,1,Female,Driving carelessly,Serious Injury
141,31-50,Male,Junior high school,,,Other,Crossing,1,Male,Driving carelessly,Serious Injury
142,Under 18,Male,Junior high school,Below 1yr,,Other,No junction,2,Male,Driving carelessly,Serious Injury
143,Under 18,Male,Junior high school,2-5yr,,Office areas,No junction,2,na,Changing lane to the right,Serious Injury
144,18-30,Unknown,Junior high school,2-5yr,No defect,Other,Y Shape,4,na,Changing lane to the right,Slight Injury
145,18-30,Male,Junior high school,5-10yr,, Church areas,Y Shape,4,Male,Driving carelessly,Slight Injury
146,18-30,Male,Elementary school,5-10yr,No defect,Office areas,Y Shape,4,Male,Overtaking,Slight Injury
147,18-30,Unknown,,5-10yr,No defect,Office areas,Y Shape,4,Female,Changing lane to the right,Slight Injury
148,18-30,Male,Junior high school,5-10yr,,Other,Y Shape,1,Male,No distancing,Slight Injury
149,Under 18,Male,Junior high school,5-10yr,,Residential areas,Crossing,1,Male,Other,Slight Injury
150,18-30,Male,Illiterate,2-5yr,No defect,Residential areas,Y Shape,2,na,Changing lane to the right,Slight Injury
151,31-50,Male,Junior high school,5-10yr,7,,Y Shape,2,Male,Changing lane to the right,Slight Injury
152,31-50,Male,Junior high school,Below 1yr,7,Other,Y Shape,2,Male,Overtaking,Slight Injury
153,18-30,Male,Junior high school,1-2yr,No defect,Office areas,No junction,1,na,Other,Slight Injury
154,18-30,Male,Elementary school,2-5yr,No defect,School areas,No junction,1,Male,Driving to the left,Slight Injury
155,Unknown,Female,Elementary school,2-5yr,No defect,Other,Y Shape,2,Male,Overtaking,Slight Injury
156,31-50,Male,Elementary school,5-10yr,No defect,Other,Y Shape,2,Male,No priority to vehicle,Slight Injury
157,31-50,Male,Junior high school,5-10yr,No defect, Church areas,Y Shape,2,na,Moving Backward,Slight Injury
158,Under 18,Male,,,,Office areas,Y Shape,1,Male,Other,Slight Injury
159,Under 18,Male,Junior high school,Above 10yr,,Other,Y Shape,1,na,No priority to vehicle,Slight Injury
160,Under 18,Male,Junior high school,Above 10yr,No defect,Residential areas,Y Shape,2,Male,No priority to pedestrian,Slight Injury
161,31-50,Male,Junior high school,Above 10yr,,Office areas,Y Shape,2,Female,Changing lane to the right,Slight Injury
162,Over 51,Male,Junior high school,unknown,,Office areas,Crossing,3,Male,Changing lane to the right,Slight Injury
163,31-50,Male,Junior high school,5-10yr,,Office areas,Crossing,3,na,Changing lane to the right,Slight Injury
164,31-50,Male,Junior high school,2-5yr,, Church areas,Crossing,3,Male,Driving to the left,Slight Injury
165,18-30,Male,Elementary school,5-10yr,,Office areas,Crossing,1,na,Changing lane to the left,Slight Injury
166,18-30,Male,Junior high school,2-5yr,,Office areas,Crossing,1,Female,Moving Backward,Slight Injury
167,Over 51,Male,High school,5-10yr,,Office areas,No junction,1,na,Driving at high speed,Slight Injury
168,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,1,Male,Moving Backward,Slight Injury
169,31-50,Male,Junior high school,2-5yr,No defect,Other,Y Shape,1,na,No distancing,Slight Injury
170,31-50,Unknown,Elementary school,2-5yr,No defect,Residential areas,Y Shape,1,Female,Other,Slight Injury
171,Over 51,Male,High school,Above 10yr,No defect, Church areas,Y Shape,2,Male,No priority to vehicle,Slight Injury
172,Over 51,Male,Elementary school,1-2yr,No defect,Other,Y Shape,2,na,Changing lane to the right,Slight Injury
173,18-30,Unknown,Junior high school,Above 10yr,No defect,  Recreational areas,Y Shape,2,na,Other,Slight Injury
174,31-50,Male,,,,,Crossing,1,Male,No distancing,Slight Injury
175,Over 51,Male,Junior high school,5-10yr,No defect, Industrial areas,Crossing,1,na,Driving carelessly,Slight Injury
176,18-30,Male,Above high school,5-10yr,No defect,Other,Crossing,1,Male,No distancing,Slight Injury
177,18-30,Male,Junior high school,5-10yr,,Other,Crossing,1,Female,Moving Backward,Slight Injury
178,18-30,Male,Junior high school,Above 10yr,No defect, Church areas,Y Shape,1,na,No distancing,Slight Injury
179,31-50,Male,Junior high school,1-2yr,No defect, Church areas,Y Shape,1,Male,Moving Backward,Slight Injury
180,31-50,Male,Junior high school,2-5yr,No defect,Other,No junction,1,Male,No priority to pedestrian,Slight Injury
181,31-50,Male,Junior high school,Below 1yr,No defect,Other,No junction,3,Female,Changing lane to the left,Slight Injury
182,31-50,Male,Junior high school,Above 10yr,,  Recreational areas,No junction,3,na,No distancing,Slight Injury
183,31-50,Male,Junior high school,1-2yr,,Other,No junction,3,na,Other,Slight Injury
184,18-30,Male,Above high school,5-10yr,,Office areas,Y Shape,1,Male,No distancing,Slight Injury
185,18-30,Male,Junior high school,5-10yr,No defect, Church areas,Y Shape,1,Male,No priority to pedestrian,Slight Injury
186,Unknown,Female,Elementary school,Below 1yr,,Office areas,Y Shape,1,na,Moving Backward,Slight Injury
187,31-50,Male,,,No defect,Office areas,Y Shape,1,na,No priority to pedestrian,Slight Injury
188,Over 51,Unknown,Junior high school,Above 10yr,No defect,Other,Y Shape,1,Male,No distancing,Slight Injury
189,31-50,Male,Junior high school,,,Residential areas,No junction,1,Female,No priority to pedestrian,Serious Injury
190,18-30,Male,Junior high school,1-2yr,No defect,Office areas,No junction,1,Male,Driving carelessly,Serious Injury
191,18-30,Male,Junior high school,2-5yr,,Residential areas,No junction,1,Male,Getting off the vehicle improperly,Serious Injury
192,18-30,Male,,unknown,No defect,Residential areas,No junction,3,Female,Driving carelessly,Slight Injury
193,18-30,Unknown,Junior high school,Above 10yr,No defect,Other,No junction,3,na,Changing lane to the left,Slight Injury
194,18-30,Male,Junior high school,2-5yr,No defect, Hospital areas,No junction,3,Male,No priority to vehicle,Slight Injury
195,Over 51,Male,Junior high school,5-10yr,No defect,Other,Y Shape,1,na,Changing lane to the right,Slight Injury
196,18-30,Male,Junior high school,2-5yr,No defect,Other,O Shape,1,Male,Changing lane to the right,Serious Injury
197,18-30,Male,Junior high school,1-2yr,No defect,  Recreational areas,Y Shape,1,Female,No distancing,Slight Injury
198,Unknown,Female,Junior high school,5-10yr,No defect,Other,Y Shape,1,na,No distancing,Slight Injury
199,Over 51,Male,Junior high school,2-5yr,No defect,Other,No junction,1,na,Changing lane to the left,Slight Injury
200,Unknown,Female,Elementary school,5-10yr,No defect,Other,Crossing,1,Male,Changing lane to the right,Slight Injury
201,18-30,Unknown,Above high school,5-10yr,No defect,Office areas,Crossing,1,Male,No priority to vehicle,Slight Injury
202,18-30,Male,Junior high school,2-5yr,No defect,Other,Crossing,1,Female,Changing lane to the left,Slight Injury
203,18-30,Male,Junior high school,2-5yr,No defect,Residential areas,Crossing,1,Female,No priority to vehicle,Slight Injury
204,18-30,Male,Junior high school,2-5yr,No defect,Other,Crossing,1,Male,Moving Backward,Slight Injury
205,31-50,Unknown,Junior high school,5-10yr,No defect,Other,No junction,1,na,Turnover,Serious Injury
206,18-30,Male,Junior high school,1-2yr,, Church areas,No junction,1,Female,No distancing,Serious Injury
207,18-30,Male,Junior high school,2-5yr,5,Office areas,No junction,1,na,No distancing,Slight Injury
208,Over 51,Male,High school,2-5yr,No defect,School areas,No junction,1,Male,No distancing,Slight Injury
209,31-50,Male,,,No defect,Other,Y Shape,1,Male,Changing lane to the left,Slight Injury
210,31-50,Male,Junior high school,1-2yr,No defect,Office areas,Y Shape,1,Male,No priority to vehicle,Slight Injury
211,Unknown,Female,Junior high school,Below 1yr,No defect,Residential areas,Crossing,1,Male,Driving at high speed,Slight Injury
212,Over 51,Male,High school,1-2yr,No defect, Industrial areas,Crossing,1,Male,Overtaking,Slight Injury
213,18-30,Male,Above high school,1-2yr,No defect,Other,Y Shape,1,Male,Other,Slight Injury
214,31-50,Male,Junior high school,Above 10yr,No defect,Residential areas,Y Shape,1,Female,Changing lane to the left,Slight Injury
215,18-30,Male,High school,1-2yr,No defect,  Recreational areas,Y Shape,1,Male,No priority to pedestrian,Slight Injury
216,31-50,Unknown,Junior high school,2-5yr,7,Office areas,Y Shape,1,Male,Changing lane to the left,Slight Injury
217,31-50,Male,Above high school,2-5yr,No defect, Outside rural areas,Y Shape,2,na,No distancing,Slight Injury
218,31-50,Male,High school,Above 10yr,No defect, Outside rural areas,Y Shape,2,Female,Moving Backward,Slight Injury
219,Over 51,Male,Elementary school,5-10yr,No defect, Outside rural areas,Y Shape,1,Female,Changing lane to the left,Serious Injury
220,18-30,Male,High school,1-2yr,No defect, Outside rural areas,Y Shape,3,Male,Other,Serious Injury
221,18-30,Male,High school,5-10yr,No defect, Outside rural areas,Y Shape,3,na,No distancing,Serious Injury
222,18-30,Male,High school,2-5yr,No defect,School areas,Y Shape,3,Male,Moving Backward,Serious Injury
223,18-30,Male,Junior high school,1-2yr,No defect, Outside rural areas,Y Shape,3,Male,No distancing,Serious Injury
224,18-30,Male,Above high school,Above 10yr,No defect, Outside rural areas,Y Shape,1,na,Changing lane to the left,Slight Injury
225,Over 51,Male,Above high school,2-5yr,No defect, Outside rural areas,Crossing,1,Male,Changing lane to the left,Slight Injury
226,Unknown,Female,Elementary school,5-10yr,No defect, Outside rural areas,Crossing,1,na,No priority to pedestrian,Slight Injury
227,Unknown,Female,Elementary school,1-2yr,No defect,Office areas,Crossing,1,Male,Changing lane to the left,Slight Injury
228,Unknown,Female,Junior high school,,No defect, Outside rural areas,Crossing,1,Male,Driving carelessly,Slight Injury
229,Unknown,Female,,,No defect, Outside rural areas,Crossing,1,na,Driving carelessly,Slight Injury
230,Unknown,Female,Elementary school,5-10yr,No defect, Outside rural areas,Crossing,1,Male,No priority to pedestrian,Slight Injury
231,Under 18,Male,Junior high school,2-5yr,No defect,Office areas,Y Shape,2,Male,Getting off the vehicle improperly,Slight Injury
232,18-30,Male,Junior high school,5-10yr,No defect,  Recreational areas,Y Shape,2,na,No distancing,Slight Injury
233,18-30,Unknown,High school,2-5yr,No defect,Office areas,O Shape,1,Male,Changing lane to the left,Slight Injury
234,18-30,Male,Junior high school,1-2yr,No defect,Other,O Shape,1,Female,No priority to vehicle,Slight Injury
235,18-30,Male,Junior high school,1-2yr,No defect,Residential areas,Y Shape,2,na,No distancing,Slight Injury
236,31-50,Unknown,Junior high school,5-10yr,No defect,Residential areas,Y Shape,2,Female,No priority to pedestrian,Slight Injury
237,31-50,Male,Illiterate,unknown,No defect,Residential areas,Y Shape,2,na,No priority to pedestrian,Slight Injury
238,Unknown,Female,Junior high school,5-10yr,No defect,Other,Y Shape,2,Male,No priority to vehicle,Slight Injury
239,18-30,Male,Junior high school,1-2yr,No defect,Office areas,Y Shape,2,na,Driving carelessly,Slight Injury
240,18-30,Male,Junior high school,2-5yr,,Other,Crossing,1,Female,Changing lane to the right,Slight Injury
241,Over 51,Male,Junior high school,Above 10yr,,Other,Crossing,1,na,Changing lane to the left,Slight Injury
242,31-50,Male,Junior high school,5-10yr,,Office areas,Crossing,1,Male,Moving Backward,Slight Injury
243,18-30,Female,High school,1-2yr,, Church areas,No junction,1,Female,Driving carelessly,Serious Injury
244,Over 51,Female,Junior high school,Above 10yr,No defect,Other,No junction,1,na,Driving to the left,Serious Injury
245,Unknown,Female,Junior high school,1-2yr,,Other,No junction,1,Male,Driving to the left,Slight Injury
246,18-30,Male,Junior high school,2-5yr,,Office areas,No junction,1,na,No priority to pedestrian,Slight Injury
247,18-30,Male,Junior high school,Above 10yr,,Office areas,Y Shape,3,Female,Changing lane to the left,Slight Injury
248,18-30,Male,Junior high school,2-5yr,,Office areas,Y Shape,3,Male,Changing lane to the right,Slight Injury
249,31-50,Unknown,Elementary school,5-10yr,No defect,Office areas,Y Shape,3,Female,Driving carelessly,Slight Injury
250,31-50,Male,,,,,Y Shape,2,Male,No distancing,Slight Injury
251,31-50,Male,Elementary school,1-2yr,,Office areas,Y Shape,2,Male,Getting off the vehicle improperly,Slight Injury
252,18-30,Male,Elementary school,5-10yr,,Other,No junction,1,Male,Driving under the influence of drugs,Slight Injury
253,18-30,Male,Elementary school,5-10yr,,Other,No junction,1,Male,Changing lane to the right,Slight Injury
254,18-30,Male,Junior high school,1-2yr,,Other,Y Shape,1,na,Driving carelessly,Slight Injury
255,18-30,Male,Junior high school,5-10yr,,Office areas,No junction,2,Female,Moving Backward,Slight Injury
256,18-30,Male,Junior high school,5-10yr,,Office areas,No junction,2,na,Turnover,Slight Injury
257,18-30,Unknown,Junior high school,2-5yr,,Office areas,No junction,2,Male,Changing lane to the right,Slight Injury
258,31-50,Male,Junior high school,1-2yr,No defect,Office areas,Crossing,3,na,Driving carelessly,Slight Injury
259,18-30,Male,Junior high school,5-10yr,, Church areas,Crossing,3,na,No priority to vehicle,Slight Injury
260,18-30,Male,Junior high school,Below 1yr,,Office areas,Crossing,3,Male,Moving Backward,Slight Injury
261,18-30,Male,Junior high school,5-10yr,,Residential areas,Crossing,3,Female,Changing lane to the left,Slight Injury
262,31-50,Male,Junior high school,5-10yr,,School areas,Crossing,1,Female,Overturning,Slight Injury
